Puregold La Trinidad[citation needed],,,,La Trinidad,,,Benguet,1st Puregold outside Baguio and 1st in Benguet,,
Savemore La Trinidad,,,,La Trinidad,,,Benguet,,,
SM City Baguio,SM Prime Holdings,,,Baguio,,,,Biggest shopping mall in the City. Only SM Mall that has no air conditioning.,,
168 Mall[citation needed],Filipino-Chinese Traders Association (Davao City),,,Davao City,,,Davao del Sur,,,
Abreeza,Ayala Land,,,Davao City,,,Davao del Sur,1st Ayala mall in Mindanao,,
Center Point Plaza[citation needed],New City Commercial Corp.,,,Davao City,,,Davao del Sur,,,
Chimes Mall[citation needed],Felcris Corp.,,,Davao City,,,Davao del Sur,1st upscale strip mall in the Davao Region,,
CityMall Tagum[citation needed],DoubleDragon Properties,,,Tagum,,,Davao del Norte,1st CityMall in Davao Region and was anchored by SM Savemore Market. It has also the first Simply Shoes store in Mindanao.,,
DCLA Shopping Center[citation needed],,,,Davao City,,,Davao del Sur,,,
Felcris Centrale[citation needed],Felcris Corp.,,,Davao City,,,Davao del Sur,,,
Gaisano Grand Mall Carmen[citation needed],Gaisano,,,Carmen,,,Davao del Norte,,,
Gaisano Grand Mall Digos[citation needed],Gaisano,,,Digos,,,Davao del Sur,,,
Gaisano Grand Mall Panabo[citation needed],Gaisano,,,Panabo,,,Davao del Norte,,,
Gaisano Grand Mall Tagum[citation needed],Gaisano,,,Tagum,,,Davao del Norte,,,
Gaisano Grand Mall of Tibungco[citation needed],DSG Sons Group Inc.,,,Davao City,,,Davao del Sur,,,
Gaisano Grand Mall Toril[citation needed],Gaisano,,,Davao City,,,Davao del Sur,,,
Gaisano Mall of Toril[citation needed],DSG Sons Group Inc.,,,Davao City,,,Davao del Sur,4th largest Gaisano mall in the Philippines,,
Gaisano Mall of Davao,DSG Sons Group Inc.,,,Davao City,,,Davao del Sur,Largest Gaisano mall in the Philippines,,
Gaisano Mall of Tagum[citation needed],DSG Sons Group Inc.,,,Tagum,,,Davao del Norte,,,
Gaisano Mall of Digos[citation needed],DSG Sons Group Inc.,,,Digos,,,Davao del Sur,3rd largest Gaisano mall in the Philippines,,
Gaisano Grand Citimall Davao-Ilustre[citation needed],Shogun Management & Development Corp.,,,Davao City,,,Davao del Sur,,,
NCCC Mall Buhangin,New City Commercial Corp.,,,Davao City,,,Davao del Sur,,,
NCCC Main Uyanguren[citation needed],New City Commercial Corp.,,,Davao City,,,Davao del Sur,,,
NCCC Mall Davao,New City Commercial Corp.,,,Davao City,,,Davao del Sur,Site of the deadly 2017 Davao City mall fire.,,
NCCC Main Uyanguren[citation needed],New City Commercial Corp.,,,Davao City,,,Davao del Sur,,,
NCCC Mall Tagum,New City Commercial Corp.,,,Tagum,,,Davao del Norte,,,
Robinsons Cybergate Davao[citation needed],Robinsons Land,,,Davao City,,,Davao del Sur,,,
Robinsons Place Tagum[citation needed],Robinsons Land,,,Tagum,,,Davao del Norte,The 1st world-class mall in Davao del Norte that house the six state-of-the-art cinemas that include a 3D theater by Robinsons Movieworld.,,
SM City Davao,SM Prime Holdings,,,Davao City,,,Davao del Sur,"Opened to the public on November 17, 2001; 1st SM Supermall in Mindanao",,
SM Lanang Premier,SM Prime Holdings,,,Davao City,,,Davao del Sur,"2nd SM Supermall in Davao City and 4th SM Supermall in Mindanao. It is located in the northern part of the city, and the 1st premier shopping mall in southern Philippines. It boasts its atrium, which is Davao City's largest and most spacious.",,
S&R Davao[citation needed],S&R Membership Shopping,,,Davao CityMatina,,,Davao del Sur,The 1st S&R in Mindanao,,
Sunscor Grocerama[citation needed],Sunscor Realty Corp.,,,Davao CityToril District,,,Davao del Sur,,,
Victoria Plaza Mall[citation needed],Davao Sunrise Investment & Development Corp.,,,Davao City,,,Davao del Sur,1st shopping mall in Davao City,,
Gaisano Capital Ormoc[citation needed],Gaisano,,,Ormoc,,,Leyte,,,
Gaisano Capital Sogod[citation needed],Gaisano,,,Sogod,,,Southern Leyte,,,
Gaisano Capital Tacloban[citation needed],Gaisano,,,Tacloban,,,Leyte,First Shopping Mall in Tacloban,,
Gaisano Central Mall Tacloban[citation needed],Gaisano,,,Tacloban,,,Leyte,,,
Gaisano Metro Maasin[citation needed],Gaisano,,,Maasin,,,Southern Leyte,,,
Gaisano Riverside Mall[citation needed],Gaisano,,,Ormoc,,,Leyte,,,
Robinsons Place Ormoc,Robinsons Land,,,Ormoc,,,Leyte,,,
Robinsons Place Tacloban,Robinsons Land,,,Tacloban,,,Leyte,First Robinsons Mall in Eastern Visayas[39][circular reference],,
Robinsons North Tacloban,Robinsons Land,,,Tacloban,,,Leyte,Second Robinsons Mall in Tacloban,,
SM Savemore Tacloban[citation needed],SMPH,,,Tacloban,,,Leyte,,,
SM Center Ormoc,SM Prime Holdings,,,Ormoc,,,Leyte,,,
Wilsam Uptown Mall Borongan[citation needed],Wilsam Inc.,,,Borongan,,,Eastern Samar,First mall in Eastern Visayas,,
J & F Mall Borongan[citation needed],J & F,,,Borongan,,,Eastern Samar,includes Puregold as the supermarket component,,
578 Emporium Tacloban[citation needed],578 Emporium,,,Tacloban,,,Leyte,,,
Dynasty Square Tacloban[citation needed],Dynasty Square,,,Tacloban,,,Leyte,,,
Gaisano Grand Catarman[citation needed],Gaisano,,,Catarman,,,Northern Samar,,,
Gaisano Grand Calbayog[citation needed],Gaisano,,,Calbayog,,,Samar,,,
578 Emporium Borongan,578 Emporium,,,Borongan,,,Eastern Samar,,,
Gaisano Capital Real,Gaisano,,,Tacloban,,,Leyte,,,
Primark Town Center Caibaan,LKY Group,,,Tacloban,,,Leyte,,,
CB Mall[citation needed],CBE Estrada Group of Companies,,,Urdaneta,,,Pangasinan,,,
CSI The City Mall Dagupan[40],"City Supermarket, Inc.",,,Dagupan,,,Pangasinan,,,
CSI Market Square Mall[40],"City Supermarket, Inc.",,,Dagupan,,,Pangasinan,,,
CSI The City Mall La Union[41],"City Supermarket, Inc.",,,San Fernando,,,La Union,The 1st Mall in La Union,,
JTC Mall[citation needed],,,,Bantay,,,Ilocos Sur,,,
Magic Mall San Carlos[citation needed],,,,San Carlos,,,Pangasinan,,,
Magic Mall Urdaneta[citation needed],,,,Urdaneta,,,Pangasinan,,,
Magic CenterPoint Dagupan[citation needed],,,,Dagupan,,,Pangasinan,The 1st Magic Shopping Center,,
Manna Mall[citation needed],,,,San Fernando,,,La Union,"Anchored by Puregold, National Bookstore, Robinsons Appliances, CDR-King; The 3rd Mall in La Union",,
Nepo Mall Dagupan[citation needed],,,,Dagupan,,,Pangasinan,,,
CityMall Mayombo Dagupan,,,,Dagupan,,,Pangasinan,,,
Primark Town Center Aringay[16],Primark Philippine Properties,,,Aringay,,,La Union,"Anchored by Savemore; The 4th Mall in La Union, 1st Primark in La Union",,
Robinsons Place Ilocos Norte[citation needed],Robinsons Land,,,San Nicolas,,,Ilocos Norte,First full-service mall in Ilocos Norte,,
Robinsons Place Pangasinan[citation needed],,,,Calasiao,,,Pangasinan,,,
San Carlos Town Center[42],,,,San Carlos,,,Pangasinan,,,
SM City Rosales,SM Prime Holdings,,,Rosales,,,Pangasinan,First SM Mall in Pangasinan,,
SM City Urdaneta Central,SM Prime Holdings,,,Urdaneta,,,Pangasinan,Second SM Mall in Pangasinan,,
SM Center Dagupan,SM Prime Holdings,,,Dagupan,,,Pangasinan,Third SM Mall in Pangasinan and First SM Mall in Dagupan,,
Xentro Mall Vigan,AMRC Holdings Co. Inc.,,,Vigan,,,Ilocos Sur,,,
GT 168 Mall,"Golden Three 168 Trading, Inc.",,,Boac,,,Marinduque,First mall in Marinduque,,
Gaisano Capital Calapan,Gaisano,,,Calapan,,,Oriental Mindoro,,,
Gaisano Capital San Jose,Gaisano,,,San Jose,,,Occidental Mindoro,,,
NCCC Mall Puerto Princesa[citation needed],New City Commercial Corp.,,,Puerto Princesa,,,Palawan,,,
Xentro Mall Calapan/Neo Calapan Mall[citation needed],AMRC Holdings Co. Inc.,,,Calapan,,,Oriental Mindoro,First and Only Full-Service Mall in Calapan[citation needed],,
Robinsons Place Palawan,Robinsons Land,,,Puerto Princesa,,,Palawan,,,
SM City Puerto Princesa[43],SM Prime Holdings,,,Puerto Princesa,,,Palawan,First SM Mall in Mimaropa,,
Centrio,Ayala Land,,,Cagayan de Oro,,,Misamis Oriental,,,
CityMall Bulua[citation needed],DoubleDragon Properties,,,Cagayan de Oro,,,Misamis Oriental,,,
CityMall Iponan[citation needed],DoubleDragon Properties,,,Cagayan de Oro,,,Misamis Oriental,,,
Gaisano Department Store Main Iligan[citation needed],Gaisano,,,Iligan,,,Lanao del Norte,,,
Gaisano Capital Balingasag,Gaisano,,,Balingasag,,,Misamis Oriental,,,
Gaisano Super Citi Mall Iligan[citation needed],Gaisano,,,Iligan,,,Lanao del Norte,,,
Geegee Mall[citation needed],,,,Ozamiz,,,Misamis Occidental,,,
Robinsons Place Iligan[44],Robinsons Land,,,Iligan,,,Lanao del Norte,,,
Iligan Fiesta Mall,,,,Iligan,,,Lanao del Norte,,,
SBG Strip Mall,,,,Iligan,,,Lanao del Norte,,,
Squarelland Shopping Centre,,,,Iligan,,,Lanao del Norte,,,
Robinsons Place Valencia,Robinsons Land,,,Valencia,,,Bukidnon,,,
Robinsons Cagayan de Oro[citation needed],Robinsons Land,,,Cagayan de Oro,,,Misamis Oriental,1st Robinsons mall in Mindanao,,
Limketkai Center,Limketkai Sons Inc.,,,Cagayan de Oro,,,Misamis Oriental,"1st shopping complex in Mindanao, also one of the largest mall complex in Mindanao",,
Gaisano City Mall,Gaisano Sons Inc.,,,Cagayan de Oro,,,Misamis Oriental,,,
Gaisano Puerto,Gaisano Sons Inc.,,,Cagayan de Oro,,,Misamis Oriental,,,
Gaisano Bulua,Gaisano Sons Inc.,,,Cagayan de Oro,,,Misamis Oriental,,,
SM City Cagayan de Oro,SM Prime Holdings,,,Cagayan de Oro,,,Misamis Oriental,,,
Puregold Cagayan de Oro[citation needed],Puregold Price Club,,,Cagayan de Oro,,,Misamis Oriental,Puregold's flagship store in Mindanao,,
S&R Cagayan de Oro[citation needed],S&R Membership Shopping,,,Cagayan de Oro,,,Misamis Oriental,,,
Vista Mall[citation needed],Vista Land & Lifescapes,,,Cagayan de Oro,,,Misamis Oriental,,,
SM CDO Downtown Premier,SM Prime Holdings,,,Cagayan de Oro,,,Misamis Oriental,Biggest SM shopping mall in Mindanao,,
Village Center CDO,Vista Land & Lifescapes,,,Cagayan de Oro,,,Misamis Oriental,1st Vista mall in Mindanao,,
Ororama Supercenter Cogon,Ororama Supercenters Inc.,,,Cagayan de Oro,,,Misamis Oriental,,,
Ororama Supercenter Carmen,Ororama Supercenters Inc.,,,Cagayan de Oro,,,Misamis Oriental,,,
Market City,Ororama Supercenters Inc.,,,Cagayan de Oro,,,Misamis Oriental,,,
Prince Town Gingoog,Prince Warehouse Club Inc.,,,Gingoog,,,Misamis Oriental,,,
Ace CenterPoint[citation needed],Ace Centerpoint,,,Koronadal,,,South Cotabato,,,
Fitmart GenSan,Fitmart,,,General Santos,,,South Cotabato,,,
Gaisano Grand Mall Kidapawan[citation needed],Gaisano,,,Kidapawan,,,North Cotabato,,,
Gaisano Grand Mall Koronadal[citation needed],Gaisano,,,Koronadal,,,South Cotabato,,,
Gaisano Grand Mall Polomolok[citation needed],Gaisano,,,Polomok,,,South Cotabato,,,
Gaisano Mall General Santos[citation needed],Gaisano,,,General Santos,,,South Cotabato,,,
KCC Mall of General Santos,Koronadal Commercial Corp.,,,General Santos,,,South Cotabato,,,
KCC Mall of Marbel,Koronadal Commercial Corp.,,,Koronadal,,,South Cotabato,,,
KMCC Mall[citation needed],Kidapawan Megacenter Corp.,,,Kidapawan,,,North Cotabato,,,
MC Square Mall[citation needed],,,,Kidapawan,,,North Cotabato,,,
Primark Town Center Tacurong,Primark Philippine Properties,,,Tacurong,,,Sultan Kudarat,The 1st ever Primark in Mindanao,,
Robinsons Place General Santos,Robinsons Malls,,,General Santos,,,South Cotabato,,,
SM City General Santos,SM Prime Holdings,,,General Santos,,,South Cotabato,,,
Tacurong Fitmart Supermarket[citation needed],,,,Tacurong,,,Sultan Kudarat,,,
Tacurong Kimsan Plaza[citation needed],,,,Tacurong,,,Sultan Kudarat,,,
Veranza Mall[citation needed],Veranza Mall,,,General Santos,,,South Cotabato,The 1st environmentally inspired mall of the region[citation needed],,
CityMall Koronadal,DoubleDragon Properties,,,Koronadal,,,South Cotabato,1st CityMall in Soccsksargen,,
CityMall Isulan,DoubleDragon Properties,,,Isulan,,,Sultan Kudarat,,,
888 China Town Mall[citation needed],,,,Bacolod,,,Negros Occidental,,,
Ayala Malls Capitol Central[citation needed],Ayala Land,,,Bacolod,,,Negros Occidental,,,
Capitol Shopping Center[citation needed],,,,Bacolod,,,Negros Occidental,,,
Centroplex Mall[citation needed],,,,Bacolod,,,Negros Occidental,,,
CityMall Arnaldo-Roxas,DoubleDragon Properties,,,Roxas,,,Capiz,1st CityMall in the Philippines,,
CityMall Boracay,DoubleDragon Properties,,,Malay,,,Aklan,,,
CityMall Cadiz,DoubleDragon Properties,,,Cadiz,,,Negros Occidental,,,
CityMall Goldenfields[citation needed],DoubleDragon Properties,,,Bacolod,,,Negros Occidental,,,
CityMall Kabankalan,DoubleDragon Properties,,,Kabankalan,,,Negros Occidental,,,
CityMall Kalibo,DoubleDragon Properties,,,Kalibo,,,Aklan,,,
CityMall Parola,DoubleDragon Properties,,,Iloilo City,,,Iloilo,,,
CityMall Pavia,DoubleDragon Properties,,,Pavia,,,Iloilo,,,
CityMall Roxas Avenue,DoubleDragon Properties,,,Roxas,,,Capiz,2nd CityMall in Roxas City,,
"CityMall San Carlos, Negros",DoubleDragon Properties,,,San Carlos,,,Negros Occidental,,,
CityMall Tagbak- Jaro,DoubleDragon Properties,,,Iloilo City,,,Iloilo,,,
CityMall Victorias,DoubleDragon Properties,,,Victorias,,,Negros Occidental,,,
d'Mall de Boracay[45],,,,Malay,,,Aklan,1st outdoor mall in Panay,,
Festive Walk Mall[citation needed],Megaworld Corporation,,,Iloilo City,,,Iloilo,The 1st Megaworld lifestyle mall outside Metro Manila,,
Gaisano Capital Balasan[32],Gaisano,,,Balasan,,,Iloilo,,,
Gaisano Capital Iloilo[32],Gaisano,,,Iloilo City,,,Iloilo,,,
Gaisano Capital Kalibo,Gaisano,,,Kalibo,,,Aklan,,,
Gaisano Capital Oton[32],Gaisano,,,Oton,,,Iloilo,,,
Gaisano Capital Passi[32],Gaisano,,,Passi,,,Iloilo,,,
Gaisano Capital San Carlos,,,,San Carlos,,,Negros Occidental,,,
Gaisano City Bacolod[citation needed],Gaisano City Supermall,,,Bacolod,,,Negros Occidental,,,
Gaisano Grand Arcade Roxas[citation needed],Gaisano,,,Roxas,,,Capiz,The 1st Gaisano shopping arcade in Western Visayas,,
Gaisano Capital Kabankalan,,,,Kabankalan,,,Negros Occidental,,,
Gaisano Grand Mall of Antique[citation needed],Gaisano,,,San Jose de Buenavista,,,Antique,,,
Gaisano Grand Market Place Roxas[citation needed],Gaisano,,,Roxas,,,Capiz,,,
Gaisano Grand Roxas[citation needed],Gaisano,,,Roxas,,,Capiz,The 1st mall in Northern Panay and the 1st full-service mall and the biggest Gaisano mall in Northern Panay,,
Gaisano Grand Silay,,,,Silay,,,Negros Occidental,,,
Gaisano Guanco[32],Gaisano,,,Iloilo City,,,Iloilo,,,
Gaisano Main Bacolod[citation needed],,,,Bacolod,,,Negros Occidental,,,
GT Plaza Mall[citation needed],,,,Iloilo City,,,Iloilo,,,
GT Town Center,,,,Pavia,,,Iloilo,,,
KH Shopping Center[citation needed],Kim Huat Group,,,Kalibo,,,Aklan,,,
Limman's Center[citation needed],,,,Bacolod,,,Negros Occidental,,,
Lopue's Araneta[citation needed],,,,Bacolod,,,Negros Occidental,,,
Lopue's East Centre[citation needed],,,,Bacolod,,,Negros Occidental,,,
Lopue's Mandalagan[citation needed],,,,Bacolod,,,Negros Occidental,,,
Lopue's Panaad[citation needed],,,,Bacolod,,,Negros Occidental,,,
Lopue's San Sebastian[citation needed],,,,Bacolod,,,Negros Occidental,,,
Lopue's South Centre[citation needed],,,,Bacolod,,,Negros Occidental,,,
Marymart Center[citation needed],,,,Iloilo City,,,Iloilo,1st premier mall in Western Visayas,,
Plazuela de Iloilo[citation needed],The Florete Land Inc.,,,Iloilo City,,,Iloilo,,,
Plazuela Tres Pavia,The Florete Land Inc.,,,Pavia,,,Iloilo,,,
Primark Town Center - Pontevedra,,,,Pontevedra,,,Capiz,First Primark Town Center in Northen Panay and Western Visayas,,
Robinsons Cybergate Bacolod[citation needed],Robinsons Land,,,Bacolod,,,Negros Occidental,,,
Robinsons Place Antique[citation needed],Robinsons Land,,,San Jose de Buenavista,,,Antique,,,
Robinsons Place Bacolod,Robinsons Land,,,Bacolod,,,Negros Occidental,"1st Robinsons mall in the Visayas region, opened in 1997.",,
Robinsons Place Iloilo[46],Robinsons Land,,,Iloilo City,,,Iloilo,The 1st and largest Robinsons mall in Iloilo City,,
Robinsons Place Jaro,Robinsons Land,,,Iloilo City,,,Iloilo,2nd Robinsons mall in Iloilo City,,
Robinsons Place Pavia[citation needed],Robinsons Land,,,Pavia,,,Iloilo,The 3rd Robinsons mall in Iloilo and the 1st mall to have an Aqua Park in Western Visayas.,,
Robinsons Place Roxas,Robinsons Land,,,Roxas,,,Capiz,The 1st and only Robinsons mall in Northern Panay and the biggest mall in Northern Panay,,
S&R Iloilo,S&R Membership Shopping,,,Iloilo City,,,Iloilo,,,
SM City Bacolod,SM Prime Holdings,,,Bacolod,,,Negros Occidental,,,
SM City Iloilo,SM Prime Holdings,,,Iloilo City,,,Iloilo,Largest shopping mall in Western Visayas.,,
SM Delgado,SM Prime Holdings,,,Iloilo City,,,Iloilo,It is the 4th SM Department Store built by Henry Sy Sr. and the 1st branch opened outside Metro Manila. SM Supermarket was conceptualized and opened its store at SM Delgado in 1979. It was renovated and relaunched in 2004.,,
Street of Festive Walk,Megaworld Corporation,,,Iloilo City,,,Iloilo,,,
The Atrium[citation needed],,,,Iloilo City,,,Iloilo,,,
The District North Point[citation needed],Ayala Land,,,Talisay,,,Negros Occidental,1st Ayala mall in Western Visayas.,,
The Shops at Amigo[citation needed],,,,Iloilo City,,,Iloilo,,,
The Shops at Atria[citation needed],Ayala Land,,,Iloilo City,,,Iloilo,The 2nd and smallest Ayala mall in Western Visayas,,
Unitop Shopping Mall Roxas[citation needed],Unitop Group of Companies,,,Roxas,,,Capiz,,,
Vista Mall Iloilo[citation needed],Vista Land,,,Oton,,,Iloilo,The first Vista Mall outside Luzon (Full-scale Mall),,
VSB Mall[citation needed],,,,Bacolod,,,Negros Occidental,,,
Alabang Town Center,Ayala Land,,,,,"Alabang–Zapote Road, Ayala Alabang, Muntinlupa",,,"48,000[5]",1982.0
Ayala Malls Manila Bay,Ayala Land,,,,,"Macapagal Boulevard, Aseana City, Bay City, Parañaque",,,160000,2019.0
Evia Lifestyle Center,Vista Land[6],,,,,"Daang Hari Road, Las Piñas",,,120000,2012.0
Fairview Terraces,Ayala Land,,,,,"Quirino Highway corner Maligaya Drive, Novaliches, Quezon City",,,114000,2014.0
Festival Alabang,Filinvest Land,,,,,"Corporate Avenue corner Civic Drive, Filinvest City, Alabang, Muntinlupa",,,"400,000[7]",1998.0
Gateway Mall,Araneta Group,,,,,"Aurora Boulevard corner Gen. Aguinaldo Street, Araneta Center, Socorro, Quezon City",,,"100,000[8]",2004.0
Glorietta,Ayala Land,,,,,"Ayala Avenue, Ayala Center, Makati",,,"250,000[9]",1991.0
Greenbelt,Ayala Land,,,,,"Makati Avenue, Ayala Center, Makati",,,"250,000[10]",1990.0
Market! Market!,Ayala Land,,,,,"26th Street corner C-5 Road, Bonifacio Global City, Taguig",,,170000,2003.0
Power Plant Mall,Lopez Holdings,,,,,"Rockwell Drive corner Estrella Street, Rockwell Center, Makati",,,41000,2000.0
Robinsons Galleria,Robinsons Land,,,,,"EDSA corner Ortigas Avenue, Ortigas Center, Quezon City",,,216000,1990.0
Robinsons Place Manila,Robinsons Land,,,,,"Pedro Gil Street corner Adriatico Street, Ermita, Manila",,,"241,000[11]",1997.0
Shangri-La Plaza,Shang Properties,,,,,"EDSA corner Shaw Boulevard, Ortigas Center, Mandaluyong",,,"175,000[12]",1991.0
SM Aura Premier,SM Prime Holdings,,,,,"C-5 Road corner McKinley Parkway, Bonifacio Global City, Taguig",,,198257,2013.0
SM City Fairview,SM Prime Holdings,,,,,"Quirino Highway, Greater Lagro, Novaliches, Quezon City",,,282681,1997.0
SM City North EDSA,SM Prime Holdings,,,,,"EDSA corner North Avenue, Quezon City",,,497213,1985.0
SM Mall of Asia,SM Prime Holdings,,,,,"Jose Diokno Boulevard, Bay City, Pasay",,,"432,891[13]",2006.0
SM Megamall,SM Prime Holdings,,,,,"EDSA corner Julia Vargas Avenue, Ortigas Center, Mandaluyong",,,"474,225[14]",1991.0
SM Southmall,SM Prime Holdings,,,,,"Alabang–Zapote Road, Pilar Village, Las Piñas",,,"205,120[15]",1995.0
TriNoma,Ayala Land,,,,,"EDSA corner North Avenue, Quezon City",,,"195,000[8]",2007.0
U.P. Town Center,Ayala Land,,,,,"Katipunan Avenue, Loyola Heights, Quezon City",,,174000,2013.0
500 Shaw Zentrum,Lica Land,,,,,Mandaluyong,,,,
Agora Mall,,,,,,San Juan,,,,
Ali Mall,Araneta Group,,,,,Quezon CityAraneta Center,,,,
Anonas City Center,,,,,,Quezon City,,,,
Araneta Square,,,,,,CaloocanMonumento,,,,
Berkeley Square,,,,,,Quezon City,,,,
Cash & Carry Mall,,,,,,Makati,,,,
Centris Station,Eton Properties,,,,,Quezon CityEton Centris,,,,
Circle C Center,,,,,,Quezon City,,,,
Ever Gotesco Commonwealth Center,Ever Gotesco Malls,,,,,Quezon City,,,,
Ever Gotesco Manila Plaza,Ever Gotesco Malls,,,,,ManilaQuiapo,,,,
Fairview Center Mall,,,,,,Quezon City,,,,
Farmers Plaza,Araneta Group,,,,,Quezon CityAraneta Center,,,,
Fisher Mall Malabon[16],,,,,,Malabon,,,,
Fisher Mall Quezon Avenue,,,,,,Quezon City,,,,
Forum Robinsons,Robinsons Land,,,,,Mandaluyong,,,,
Graceland Plaza,RMR Group of Companies,,,,,Marikina,,,,
Greenhills Shopping Center,,,,,,San Juan,,,,
Guadalupe Commercial Center,,,,,,Makati,,,,
Hemady Square,,,,,,Quezon City,,,,
HK Sun Plaza,,,,,,Pasay,,,,
Il Terrazzo Mall,,,,,,Quezon CityTimog Area,,,,
Isetann Carriedo,Joymart Consolidated,,,,,ManilaSanta Cruz,,,,
Isetann Cinerama Recto,Joymart Consolidated,,,,,ManilaQuiapo,,,,
Isetann Cubao,Joymart Consolidated,,,,,Quezon CityAraneta Center,,,,
Jackman Plaza,,,,,,Quezon City,,,,
Lucky Gold Plaza / LG Plaza,,,,,,Pasig,,,,
Makati Square,,,,,,Makati,,,,
Malabon Citisquare,,,,,,Malabon,,,,
Metropoint Mall,Ayala Land,,,,,Pasay,,,,
Met Live,Federal Land,,,,,Pasay,,,,
Novaliches Plaza Mall,,,,,,Quezon City,,,,
One Mall Valenzuela,,,,,,Valenzuela,,,,
Pearl Plaza,,,,,,Parañaque,,,,
Riverbanks Center,,,,,,Marikina,,,,
RMR Square,RMR Group of Companies,,,,,Quezon CityTandang Sora,,,,
Robinsons Metro East,Robinsons Land,,,,,Pasig,,,,
Robinsons Novaliches,Robinsons Land,,,,,Quezon CityNovaliches,,,,
Robinsons Otis,Robinsons Land,,,,,ManilaPaco,,,,
Robinsons Place Las Piñas,Robinsons Land,,,,,Las Piñas,,,,
Robinsons Town Mall Malabon,Robinsons Land,,,,,Malabon,,,,
Robinsons Townville Regalado,"Robinsons Retail Holdings, Inc.",,,,,Quezon City,,,,
Shaw Centermall,,,,,,Mandaluyong,,,,
SM Center Las Piñas,SM Prime Holdings,,,,,Las Piñas,,,,
SM Center Muntinlupa,SM Prime Holdings,,,,,Muntinlupa,,,,
SM Center Pasig,SM Prime Holdings,,,,,PasigOrtigas Center,,,,
SM Center Sangandaan,SM Prime Holdings,,,,,Caloocan,,,,
SM Cherry Congressional,SM Prime Holdings,,,,,Quezon City,,,,
SM Cherry Shaw,SM Prime Holdings,,,,,Mandaluyong,,,,
SM City BF Parañaque,SM Prime Holdings,,,,,ParañaqueBF Homes,,,,
SM City Bicutan,SM Prime Holdings,,,,,Parañaque,,,,
SM City East Ortigas,SM Prime Holdings,,,,,Pasig,,,,
SM City Manila,SM Prime Holdings,,,,,ManilaErmita,,,,
SM City Marikina,SM Prime Holdings,,,,,Marikina,,,,
SM City Novaliches,SM Prime Holdings,,,,,Quezon CityNovaliches,,,,
SM City San Lazaro,SM Prime Holdings,,,,,ManilaSanta Cruz,,,,
SM City Sta. Mesa,SM Prime Holdings,,,,,Quezon City,,,,
SM City Sucat,SM Prime Holdings,,,,,Parañaque,,,,
SM City Valenzuela,SM Prime Holdings,,,,,Valenzuela,,,,
South Station,Filinvest Land,,,,,MuntinlupaAlabang,,,,
Star J Mall,,,,,,Malabon,,,,
Starmall Alabang,,,,,,Muntinlupa,,,,
Starmall EDSA Shaw,Vista Land,,,,,Mandaluyong,,,,
Sunshine Plaza Mall,,,,,,TaguigArca South,,,,
The Marketplace Mall,,,,,,Mandaluyong,,,,
Tutuban Center (Centermall Building)[17],"Prime Orion Philippines, Inc.; Ayala Property Management Corp.",,,,,ManilaTondo,,,,
UNITOP Sta. Mesa,RI-RANCE Realty Corporation,,,,,ManilaSanta Mesa,,,,
University Mall,,,,,,ManilaMalate,,,,
Uniwide Coastal Mall,"Uniwide Sales, Inc.",,,,,ParañaqueBay City,,,,
Uniwide Metromall,"Uniwide Sales, Inc.",,,,,Las Piñas,,,,
Victory Central Mall,,,,,,CaloocanMonumento,,,,
Victory Pasay Mall,,,,,,PasayLibertad,,,,
Vista Mall Global South,Vista Land,,,,,Las Piñas,,,,
Vista Mall Lakefront,Vista Land,,,,,Muntinlupa,,,,
Vista Mall Las Piñas (formerly Starmall Las Piñas),Vista Land,,,,,Las Piñas,,,,
Vista Mall Taguig,Vista Land,,,,,Taguig,,,,
W Mall[18],WM Property Management Inc. and SM Investment Corp.,,,,,PasayBay City,,,,
Walter Mart Bicutan,WM Property Management Inc. and SM Investment Corp.,,,,,Parañaque,,,,
Walter Mart E. Rodriguez,WM Property Management Inc. and SM Investment Corp.,,,,,Quezon City,,,,
Walter Mart Makati,WM Property Management Inc. and SM Investment Corp.,,,,,Makati,,,,
Walter Mart North EDSA,WM Property Management Inc. and SM Investment Corp.,,,,,Quezon City,,,,
Walter Mart Sucat,WM Property Management Inc. and SM Investment Corp.,,,,,Parañaque,,,,
Z Square Mall,,,,,,Quezon City,,,,
Zabarte Town Center,,,,,,CaloocanCamarin,,,,
Arcovia Parade,Megaworld Corporation[19],,,,,PasigArcovia City,,,,
Ayala Malls Circuit,Ayala Land[20],,,,,MakatiCircuit Makati,,,,
Ayala Malls Cloverleaf,Ayala Land[21],,,,,Quezon CityBalintawak Interchange,,,,
Ayala Malls Feliz,Ayala Land,,,,,Pasig,,,,
Ayala Malls Manila Bay,Ayala Land,,,,,ParañaqueBay City,,,,
Ayala Malls Marikina,Ayala Land[21],,,,,MarikinaMarikina Heights,,,,
Ayala Malls South Park,Ayala Land[22],,,,,MuntinlupaAlabang,,,,
Ayala Malls The 30th,Ayala Land[23],,,,,PasigOrtigas Center,,,,
Ayala Malls Vertis North,Ayala Land,,,,,Quezon CityVertis North,,,,
Bonifacio High Street,Ayala Land,,,,,TaguigBonifacio Global City,,,,
Century City Mall,Century Properties,,,,,MakatiCentury City,,,,
Commercenter,Philippine Allied Enterprises Corp.[24],,,,,MuntinlupaAlabang,,,,
Eastwood Mall,Megaworld Corporation[25],,,,,Quezon CityEastwood City,,,,
