,source_id,date,category,title,author,text
47,,"
Published 5:31 PM, February 14, 2020                                    ",nCov,"Celebrating Valentine's Day amid coronavirus scare, according to Duque",Janella Paris,"
HEALTH CHIEF. Health Secretary Francisco Duque III answers questions from the media after the senate public hearing on the Philippine government's preparedness on the outbreak of the 2019 Novel Coronavirus Acute Respiratory Disease on February 4, 2020. Photo by Angie de Silva/Rappler 
Wondering how you can show your affection on Valentine’s Day amid the 2019 novel coronavirus (COVID-19) scare? Let Health Secretary Francisco Duque III count the ways.
Asked during a February 14 press briefing how best to celebrate Valentine’s given the health department’s advisory asking people to avoid crowded gatherings, Duque said, “The best greeting is like this,” then waved his hand in greeting. 
You can also acknowledge the other person by slightly bowing your head and putting your hand to the opposite chest “if you want the Namaste,” the health chief said, referring to a customary Hindu greeting.   
If you want to give your loved one a kiss, it would be best to give them a flying kiss, and this is how to do it correctly, according to the health chief, “When you do the flying kiss, make sure it (your hand) does not touch your lips, and you also don’t talk while you are delivering the kiss.”
Duque had a light exchange with Malacañang reporters amid immense pressure on the health department to level up its response to the new virus. So far, the Philippines only has 3 confirmed cases  and no case of human transmission. One of them died after developing severe pneumonia due to the virus, but the other two recovered from the respiratory disease and have since been discharged from the hospital. 
The virus has killed 1,383 people and infected over 64,400 others, mainly in China. The health department heads the Inter-Agency Task Force for the Management of Infectious Diseases, which leads government efforts to contain the spread of the new disease. 
The task force’s resounding advice to the public has been to practice proper hygiene and coughing etiquette. The virus can be transmitted through respiratory droplets, which means that when an infected person coughs or sneezes, droplets carrying the virus could reach infect other people. 
In the meantime, the task force also recommended a temporary travel ban on travelers coming from mainland China, Hong Kong, Macau, and Taiwan. Taiwan has since contested its inclusion, even warning that visa-free privileges for Filipinos there could be suspended due to the ban.  – Rappler.com "
48,,"
Published 3:50 PM, February 14, 2020                                    ",nCov,Premature to say coronavirus crisis ‘stabilizing’ – Duque,Janella Paris,"
HEALTH CHIEF. Health Secretary Francisco Duque III and World Health Organization Rabindra Abeyasinghe confirm the first case of Novel Coronavirus in the country during press briefing in Manila on January 30, 2020. 
Photo by Inoue Jaena/Rappler 
MANILA, Philippines – Health Secretary Francsico Duque III said it is premature to assume that the 2019 novel coronavirus (2019-nCoV) crisis is stabilizing as “blindspots continue to characterize the virus.”  
The health chief said this during a Malacañang press briefing on Friday, February 14, discussing the government’s preparedness to respond to the disease, which has killed 1,383 people and infected over 64,400 others, mainly in China.  
Answering questions about whether there are signs that the situation could be stabilizing, Duque said, “I don’t want to be a killjoy, but it’s premature. We’ve seen some initial trending that it’s not consistent. We have to wait for more data to come in and to establish a trending that’s more consistent, whether it’s plateauing or going down. Still, the situation remains fluid.”
For this, the DOH relies on regular risk assessment reports from the World Health Organization (WHO), the UN agency working closely with Chinese authorities to establish more facts about the new virus and the disease it causes. For instance, there are still no conclusive reports to say that 2019-nCoV transmission could be airborne. 
“Blindspots here continue to characterize this virus and the efforts to familiarize ourselves with this virus is ongoing. Science has never been more active than it is today precisely to continue to characterize the very granular aspects of this virus,” the health chief added. 
According to a February 10 Agence France-Presse report, the WHO said there were “tentative signs the epidemic (was) stabilizing” but that there might “be more infections abroad in people who have never traveled to China.” 
So far, local transmission of 2019-nCoV has been reported in Singapore, Japan, Thailand, Hong Kong, Germany, France, Vietnam, South Korea, and Australia. There is no local transmission yet in the Philippines, but Duque said that the government is treating it as a possibility in the Philippines. 
455 patients probed
The health department has so far probed 455 patients for 2019-nCoV in the Philippines as of February 14. Of the 455, 191 remain admitted in hospitals across the country, while 258 have been discharged. 
Of the accumulated total of 455, 386 patients have already tested negative for the virus while 66 cases are still pending test results. 
The DOH on Friday also announced another death of a patient under investigation, but confirmed that the new fatality died due to cardiovascular attack and in fact tested negative for the virus. 
According to the DOH, the patient, a 71-year-old Filipino from La Union who had a history of travel to Taiwan, was admitted to the hospital after “manifesting with coughs.” He died Thursday night, February 13. 
Two other patients being probed for possible 2019-nCoV infection have died from other illnesses. All 3 fatalities subsequently tested negative for 2019-nCoV.
So far, the Philippines has confirmed 3 cases of 2019-nCoV in the country. One of them died after developing severe pneumonia due to the virus, but the other two recovered from the respiratory disease and have since been discharged from the hospital. – Rappler.com  "
49,,"
Published 12:43 PM, February 14, 2020                                    ",nCov,Olongapo records first patient under investigation for coronavirus,Randy V. Datu,"
 THERMAL CHECK. File photo of a thermal check at the Senate building. Photo by KD Madrilejos/Rappler 
OLONGAPO CITY – A patient who arrived from Taiwan has voluntarily reached out to the city health office here after experiencing fever and cough Thursday, February 13.
City health officials immediately admitted the patient to the isolation room of the James L. Gordon Memorial Hospital here to undergo the mandatory two-week quarantine for travellers who have been to China during their trip abroad.
Mayor Rolen Paulino Jr said the traveller is now being monitored and is listed as Olongapo's first person under investigation for possibly contracting the  coronavirus disease or COVID-19.
Dr. Rodrick Bustamante, head of the city health office, said it was commendable that the patient voluntarily sought the assistance of local authorities upon showing flu-like symptoms.
Bustamante said the patient has undergone test for the COVID-19 virus. He said the results of the test would immediately be made public.
Health officials here have also started contact tracing to find out who were with the patient during the overseas trip. – Rappler.com "
50,,"
Published 7:55 PM, February 13, 2020                                    ",nCov,Bello wants travel ban lifted for OFWs returning to Taiwan,Janella Paris,"
TRAVEL BAN. Chinese arriving from Guangzhou are seen wearing face masks at the arrival area of the Ninoy Aquino International Airport Terminal 1 in Pasay City. Photo by Ben Nabong/Rappler 
MANILA, Philippines – Labor Secretary Silvestre Bello III wants the Duterte administration's travel ban on Taiwan, which was imposed due to the novel coronavirus (2019-nCoV), to be lifted for overseas Filipino workers (OFWs) who wish to return there.
Though confident that the ban will be lifted soon, Bello said on Thursday, February 13, that he has asked the Department of Health (DOH) to exempt OFWs bound for Taiwan.
The DOH leads the Inter-Agency Task Force for the Management of Emerging Infectious Diseases and, along with agencies like the Department of Foreign Affairs and the Department of the Interior and Local Government, decides on matters like travel restrictions aimed at preventing the spread of 2019-nCoV.
""For those who are affected by the travel ban in Taiwan, we ask for your patience, and in a few days, there will be a review,"" Bello said.
""We are seeking understanding from our OFWs because the implementation of a temporary ban by the DOH is for your own safety as well. We hope for a possible lifting of the ban in a few days.""
In the meantime, the labor department will provide P10,000 in financial aid to OFWs stranded in the Philippines. It will also help OFWs with accommodation and transportation.
So far, the ban is in place for travelers to and from mainland China, its special administrative regions of Macau and Hong Kong, and Taiwan. Only Filipinos and permanent resident visa holders are allowed to enter the Philippines, while Filipinos cannot go to the areas included in the ban.
The DOH admitted that it initially overlooked the ban on Taiwan due to ""confusion"" among involved agencies, but started implementing it the weekend of February 8 to 9.
Taiwan is included in the ban as the Philippines has a One-China policy, meaning it ""respects the position of the Chinese government that there is but one China and that Taiwan is an integral part of Chinese territory."" The World Health Organization also recognizes Taiwan as part of China in its situation reports about 2019-nCoV. 
But Taiwan has since denounced the Philippine government's move, asserting it is not part of China.
There are now concerns that Taiwan may cancel visa-free privileges for Filipinos in retaliation for the travel ban.
So far, the Philippines has 3 confirmed cases of the novel coronavirus. They are imported cases, the patients having traveled from China. One of them died, while the other two have since recovered.
As of Thursday noon, the novel coronavirus has killed 1,368 people and infected over 60,300 people worldwide. – Rappler.com
  "
51,,"
Published 7:38 PM, February 13, 2020                                    ",nCov,441 patients probed for novel coronavirus in PH,Janella Paris,"
PREPAREDNESS. Makati conducts temperature checks amid nCoV outbreak. A staff of the Makati Health Department uses an infrared thermometer to measure the temperature of employees and visitors at the entrance of the Makati City Hall Building. Photo from Makati ICRD  
MANILA, Philippines – The Department of Health (DOH) has probed a total of 441 patients for the 2019 novel coronavirus (2019-nCoV) as of Thursday, February 13. 
This is an increase of  33 from the total of 408 the previous day, February 12. 
Of the 441patients, 230 are currently admitted in hospitals, while 206 have been discharged but are still being monitored daily by the DOH in case they develop symptoms. A total of 252 patients have already tested negative for the virus, while 186 samples are still being processed by the Research Institute for Tropical Medicine (RITM).  
Here is the breakdown of patients per region:

Ilocos Region - 9
Cagayan Valley - 22
Cordillera Administrative Region - 14
Central Luzon - 52
Metro Manila - 144
Calabarzon - 41
Mimaropa - 12
Bicol - 5
Western Visayas - 33
Central Visayas - 53
Eastern Visayas - 16
Northern Mindanao - 14
Caraga - 2
Davao Region - 23
Soccsksargen - 1

The DOH said there are no longer reports of patients refusing admission to hospitals. It was a problem the agency encountered last week, as at least 10 patients refused hospitalization, citing concerns about expenses. 
The health department assured those being treated in public hospitals that costs will be fully shouldered by the government. Meanwhile, for patients in private hospitals, the Philippine Health Insurance Corporation has an available insurance package for 2019-nCoV treatment.  
So far, there have been 3 confirmed cases of 2019-nCoV in the Philippines. One of them died due to severe pneumonia caused by the virus, while the other two have recovered from the infection and have since been discharged from the hospital.
All 3 are imported cases, as the patients traveled from China already carrying the virus. This means that there is still no local transmission of 2019-nCoV in the Philippines. But the health department said it was prepared in case of an outbreak of local transmission, as the World Health Organization has advised all countries to be prepared. Local transmission outside of China has so far been recorded in Singapore, Japan, Thailand, Hong Kong, Germany, France, Vietnam, South Korea, and Australia.  
The WHO has also said that the new virus constitutes a grave threat to the world, having already killed 1,369 people and infected more than 60,300, mostly in China. – Rappler.com "
52,,"
Published 6:00 PM, February 13, 2020                                    ",nCov,"PH coronavirus watch: Suspected cases per region, as of February 13, 2020",Rappler.com,"
SAMPLE. A laborant at the State Health Authorities of Baden-Wuerttemberg works on a test sample of a suspected case of the 2019 Novel Coronavirus (2019-nCoV) in Stuttgart, sothern Germany on January 29, 2020. Photo by Marijan Murat/AFP 
MANILA, Philippines – The number of people under careful monitoring for possible 2019 novel coronavirus continues to rise.
As of 10 am of Thursday, February 13, the Department of Health (DOH) has placed under investigation 441 patients under investigation (PUI). There is still no recorded local transmission in the country.
Out of this number:

Tested negative – 252
Pending test resutls – 186

As of this date, there have been 3 confirmed cases in the Philippines: one died due to severe pneumonia because of novel coronavirus while the two have since recovered and discharged from hospital confinement.
Below is the latest breakdown of the PUI cases per region. All numbers are from DOH's nCov tracker.



REGION
NUMBER OF PEOPLE PROBED


Ilocos Region
5


Cagayan Valley 
22


Cordillera Administrative Region
18


Central Luzon
52


Metro Manila
143


Calabarzon
41


Mimaropa
12


Bicol Region
5


Western Visayas
33


Central Visayas
53


Eastern Visayas
16


Northern Mindanao
14


Caraga
2


Davao Region
23


Soccsksargen
1



DOH Bicol on Thursday afternoon announced 12 new persons under monitoring in the region, but the information is not yet reflected in the monitoring system of the DOH central office as of posting. They do not exhibit symptoms but have a history of travel to countries with confirmed cases of the novel coronavirus or Covid-19. They are placed under quarantine by their local government units.
There are 6 Filipinos confirmed to have the virus, but all are based outside the Philippines, including one in the United Arab Emirates and 5 in a cruise ship in Japan.
The World Health Organization has declared the outbreak as an international emergency, warning that the virus poses a ""very grave threat"" for the planet.
The novel coronavirus has killed 1,018 and infected over 43,000 people across 26 countries. – Rappler.com "
53,,"
Published 4:03 PM, February 13, 2020                                    ",nCov,12 persons monitored in Bicol for coronavirus symptoms,Rhaydz Barcia,"
 
ALBAY, Philippines (UPDATED) – The Department of Health (DOH) in Bicol announced on Thursday, February 13, there are 12 new persons being monitored in the region if they would develop coronavirus symptoms.
Persons under monitoring (PUMs) do not exhibit symptoms but have a history of travel to countries with confirmed cases of the novel coronavirus or Covid-19. They are placed under quarantine by their local government units. 
Before this new batch, there were 5 PUIs, who all eventually tested negative in the Bicol region. 
In a press briefing in Legazpi City on Thursday afternoon, DOH-V Regional Director Ernie Vera said of the persons they are monitoring are from these provinces: 

Camarines Sur - 6
Sorsogon - 5
Masbate - 1 

Bicol previously had 5 patients under investigation all tested negative of the novel coronavirus or Covid-19. Two of them had been discharged.   
Of the first batch investigated and cleared, 3 were from Albay, 1 from Camarines Norte, and 1 from Masbate. – Rappler.com 
Follow this page for Rappler's coverage of the 2019 novel coronavirus outbreak. "
54,,"
Published 1:45 PM, February 13, 2020                                    ",nCov,"Trust us, Duterte urges Filipinos amid coronavirus threat",Sofia Tomacruz,"
'STAY CALM.' President Rodrigo Duterte delivers a taped message on the 2019 novel coronavirus. RTVM screengrab 
MANILA, Philippines – With over 400 persons under investigation for the 2019 novel coronavirus (COVID-19) in the Philippines, President Rodrigo Duterte urged Filipinos to trust in government efforts to quell the spread of the virus.
In a taped message aired on Thursday, February 13, Duterte called on Filipinos to “remain calm,” as he gave assurances that officials were working with the World Health Organization and private groups in facing the “challenge and preparing for any eventuality.”
Duterte's message comes nearly two weeks after the Philippines recorded its first confirmed case of the novel coronavirus on January 30. 

“To my fellow Filipinos, I understand that many of you are worried about the world health and the well being of our loved ones. It is normal to feel anxious, concerned, and even afraid,” he said.
“I call on our people to remain calm, vigilant, responsible and I also ask your trust and cooperation, support as we face the challenge. Tayo ay magkaisa (Let us unite) together as one nation, this challenge can be overcome,” the President added.
Apart from this, Duterte gave an update on the current situation of the virus in the country reiterating the findings of health officials that no local transmission has been found in the Philippines to date. He likewise gave a recap of measures taken by the government to address the virus, including the repatriation of 30 Filipinos from China – ground zero of the coronavirus outbreak.
Duterte said the government was ready to bring home more Filipinos from China should they wish to be repatriated.
Meanwhile, he reminded the public to observe good cough etiquette, maintain personal hygiene, and practice frequent hand washing to prevent the spread of the virus.
Slow to act? Duterte earlier got flak for his initial response to the virus, with many saying he was slow to act compared to other leaders who swiftly put in place sweeping restrictions to quell the spread of the virus.
In his initial messages on the coronavirus, Duterte told Filipinos ""everything is well"" in the Philippines and that there's ""nothing really to be extra scared of."" He said public ""hysteria"" over the coronavirus was ""unwarranted"" and that the virus would “die a natural death” as he expressed confidence in medical advances. 
Duterte had also hit xenophobic calls to bar all Chinese from entering the Philippines, saying it was in “bad taste.” He later joked he would “slap” the virus while later saying the government was “on top” of the coronavirus threat.
The Department of Health has confirmed 3 cases of the novel coronavirus in the Philippines. These include the first death outside China – a 44-year-old Chinese man who traveled to the Philippines from Wuhan. The other two cases had recovered from the virus.
Read President Duterte’s full message below:
To my fellow Filipinos,
Today, we face the very grave threat of the novel coronavirus disease 2019 or COVID-19. As of now there are only 3 confirmed cases of COVID-19 infection. None of those infected is a Filipino national. There is no evidence yet of local community transmission here in our country.
The government, together with the World Health Organization (WHO), medical societies and partners in private sectors is addressing the challenge and preparing for any eventuality.
Last Sunday, we repatriated several of our countrymen from the affected areas in China. The government is taking care of them while they are in quarantine.
To our kababayans who remain in lockdown areas in China, I assure you that the government is ready to bring you home if you want. Hindi naman kayo papabayaan.
To my fellow Filipinos, I understand that many of you are worried about the world health and the well being of our loved ones. It is normal to feel anxious, concerned and even afraid.
Maging malinis. Hugasan 'yung kamay frequently, 'yung paulit-ulit. Kung every handshake mo, kung humatsing ka, takpan mo bunganga mo at tingnan mo hindi ka makahawa sa ibang tao. Kung ikaw naman ay may ubo, magmask ka na lang.
Maging maingat at 'yung mga impormasyon na importante na manggaling sa WHO, ay ating pakinggan. At huwag makinig diyan sa mga haka-haka. Sa gobyerno kayo nakatutok.
Nandiyan ang totoo sa gobyerno, wala diyan sa mga taong haka-haka na wala namang ginawa kung hindi manakot para kapwa niya tao.
I call on our people to remain calm, vigilant, responsible and I also ask your trust and cooperation, support as we face the challenge. Tayo ay magkaisa together as one nation, this challenge can be overcome.
Maraming salamat po.
– Rappler.com "
55,,"
Published 12:44 AM, February 13, 2020                                    ",nCov,Taiwan may cancel visa-free entry for Filipinos due to PH travel ban – MECO,Sofia Tomacruz,"
VIRUS. Taiwan maintains it should blocked from international bodies such as the World Health Organization after the island confirmed cases of the novel coronavirus. Photo by Chen Chi-chuan/AFP 
MANIILA, Philippines – Then chairperson of the Manila Economic and Cultural Office (MECO) in Taipei warned on Wednesday, February 12, that Taiwan could cancel visa-free privileges for Filipinos in retaliation for its inclusion in the travel restrictions imposed by the Philippines in relation to the novel coronavirus outbreak. 
MECO Chair Angelito Banayo said Taiwan President Tsai Ing-wen met with her Cabinet and ordered that a list of possible retaliatory measures be drafted against the Philippines due to its the travel ban that covers Taiwan, based on Manila's adherence to a one-China policy.  
“Maraming (There are many) possible retaliatory measures.... One possible retaliatory measure is i-cancel ‘yun (they will cancel [visa-free entry for Filipinos]),” Banayo said in an interview with DZMM.
""Posible rin 'yun ang unang hakbang,"" he added. (It could be a first step.)
Taiwan earlier denounced the Duterte administration's move to include it in temporary travel restrictions, saying the Philippine government had ""wrongly included"" it in its ban against non-Filipino travelers coming from China, Hong Kong, and Macau.
The Philippines belatedly clarified that Taiwan was included in its travel ban since the World Health Organization (WHO) recognizes it as part of China.
Taiwan, a self-ruled democracy, has found itself increasingly caught up in travel restrictions aimed at China, where the outbreak has killed more than 1,100 people and infected over 44,600, as of Wednesday. It likewise maintained it is a ""factual error"" for the WHO to regard it as part of China.
""The Philippines should not be misled by WHO's wrong information on Taiwan.... We urge the Philippine government to immediately correct its decision on Taiwan and remove Taiwan from the travel ban,"" the Taipei Economic and Cultural Office in the Philippines said in an earlier statement.
Taiwan started implementing a visa-free policy in 2017, allowing Filipinos to enter Taiwan and stay for up to 14 days. It extended the policy until July 2020 as ""a display of Taiwan's amity with the Philippines.""
Duterte to 'review' ban
Responding to Taiwan's protest, Presidential Spokesperson Salvador Panelo said concerns would be relayed to President Rodrigo Duterte, though he maintained the ban was in place as part of efforts to quell the spread of the coronavirus.
""We will relay to the President the request of certain quarters to reconsider the travel ban to Taiwan,"" Panelo told reporters in an interview.
""The reason why we are effecting the travel ban is because we are trying to protect our countrymen from the infected. If there is no infection there, we will give it to the President [to review],"" he added.
Taiwan earlier assured the public it has taken ""all measures needed"" to swiftly contain the spread of the novel coronavirus. As of Wednesday, Taiwan recorded 18 confirmed coronavirus cases.
The WHO earlier declared the outbreak a global emergency, triggering several countries, including the Philippines, to set travel restrictions largely focused on China. – with reports from Agence France-Presse/Rappler.com
  "
56,,"
Published 10:46 PM, February 12, 2020                                    ",nCov,Coronavirus: 78 Filipino passengers from Taiwan refuse quarantine in Cebu,Ryan Macasero,"
QUARANTINE. Passengers refused to go under quarantine when they arrived at the Mactan Cebu International Airport on Tuesday. File photo by Gelo Litonjua/Rappler 
CEBU CITY, Philippines – Seventy-eight passengers have been held at the Mactan Cebu International Airport (MCIA) since Tuesday, February 11, for refusing quarantine when they arrived. (READ: Taiwan covered by travel ban due to novel coronavirus – DOH)
The passengers were apparently in the air – or on a quick transit – when the Philippines issued a clarification on Monday, February 10, that Taiwan was among the countries included in the travel ban on China and its special administrative regions due to the novel coronavirus or Covid-19.  
The Philippines and the World Health Organization consider Taiwan as a part of China. Taiwan denounced its inclusion in the travel ban shortly after the announcement, asserting it is an independent state.
MCIA manager Steve Dicdican told reporters in a chance interview, streamed by local newspaper The Freeman, that the passengers were upset when they disembarked from their flight because they did not know about the clarification until they arrived in Cebu.
He said they protested the mandatory quarantine. Another staff member described the passengers as ""enraged."" “This started yesterday (Tuesday), a lot of them were transiting only from Taiwan. They're in the holding room. We're trying to convince them to go on 14-day quarantine,” Dicdican said
 Filipinos are not included in the ban, but in Cebu province, arriving passengers from banned countries must undergo a 14-day quarantine period. (READ: Cebu readies another quarantine area amid coronavirus threat)
 According to Dicdican, majority of them were only transiting in Taiwan. Many of the passengers are also not from Metro Cebu, and outside of areas where Department of Health can inspect if they are qualified for home quarantine.  To be qualified for home quarantine, a Bureau of Quarantine officer has to check if anyone living in the household might be susceptible to catching the virus.
Currently, there is space for 250 in the quarantine facilities prepared by the province of Cebu and the Department of Health.
Cebu is a major tourist destination in the country. All 3 of the confirmed cases of novel coronavirus in the country passed through Cebu en route to other destinations. One of them became the first Covid-19 death outside of China.
There are 54 patients under investigation by the DOH in Central Visayas for possible exposure to Covid-19. 
According to Dicdican, the passengers are being fed by the Cebu provincial government, and none are exhibiting flu-like symptoms.
 The airport has been under a state of emergency since the World Health Organization declared the novel coronavirus an international emergency on January 31.
The airport manager said they would continue convincing the passengers to go under quarantine. – Rappler.com "
57,,"
Published 7:10 PM, February 12, 2020                                    ",nCov,Philippines seen to lose P42.9B in tourism revenues due to coronavirus,Aika Rey,"
BAN. The Philippines' temporary travel ban due to the novel coronavirus covers China, Hong Kong, Macau, and Taiwan. Photo by Ben Nabong/Rappler 
MANILA, Philippines – The Philippines stands to lose at least P42.9 billion in tourism revenues due to the threat of the novel coronavirus (2019-nCoV), Tourism Secretary Bernadette Puyat said on Wednesday, February 12.
During the House hearing on the economic impact of 2019-nCoV, Cavite 7th District Representative Jesus Crispin Remulla asked Puyat how much the Philippines has lost in terms of tourism receipts.
Puyat explained that P42.9 billion ($848.62 million) is the projected revenue loss for February to April this year, as the Philippines banned non-Filipino travelers coming from China, Hong Kong, Macau, and Taiwan.
""P42.9 billion, it's going to be for February, March, and April,"" Puyat said, explaining that it was computed based on the past 3 years' data.
Remulla pressed further, asking how much ""exactly"" has the Philippines lost since the travel ban was enforced.
But Puyat could only give the estimate of P16.8 billion ($332.33 million) for the month of February.
""If we compute the whole of February, it will be P16.8 billion, but we are still halfway. This is only based on our forecast,"" she said.
When it comes to flights, Puyat, citing Civil Aeronautics Board data, said 465 flights have been canceled as of Tuesday, February 11, totaling 101,452 seats.
The Philippines also lost at least 14,211 tourists from 11 canceled cruise calls to various ports in Luzon and the Visayas. (READ: Finance team says PH economy 'can handle' coronavirus effects)
Before the travel ban was enforced, the Department of Tourism (DOT) had projected a total of 795,250 visitors from China, Hong Kong, Macau, and Taiwan from February to April. This is less than 10% of the 9.2 million tourist arrivals targeted for the entire 2020.
But other markets have decreased trips to the Philippines, too, because of the 2019-nCoV threat:

Europe - decreased bookings to the Philippines, some have canceled their trips
United States - reported cancellations in Philippine Airlines flights
Japan - 643 people have reportedly canceled their trips
Korea - 6,576 airline booking cancellations, while 2,368 people canceled package tours
Australia - government encourages domestic travel instead

To recover lost revenues, Puyat said the DOT is working with major airlines to roll out ""more value-added tour packages, discounted accommodation rates, and marked-down prices for domestic flights.""
Puyat added that ""summer packages and multi-destination"" packages will be promoted yearlong in a bid to boost domestic tourism. (READ: Businesses worry more about Duterte gov't than novel coronavirus)
The World Health Organization has warned that the 2019-nCoV outbreak is a ""very grave threat.""
So far, it has killed at least 1,115 people and infected over 45,000, surpassing figures from the SARS outbreak of 2002-2003. – Rappler.com
P50.56 = $1
  "
58,,"
Published 6:55 PM, February 12, 2020                                    ",nCov,"PH coronavirus watch: Suspected cases per region, as of February 12, 2020",Rappler.com,"
PREPARED. A nurse from the Ospital ng Parañaque shows to media some equipment the hospital has prepared as precautionary measures in case a patient under investigation of the 2019 novel coronavirus is brought to their facility. Photo by Ben Nabong/Rappler 
MANILA, Philippines – The Philippines is now ramping up its probe of people with symptoms to prevent the spread of the 2019 novel coronavirus.
As of Wednesday noon, February 12, the Department of Health (DOH) has placed under investigation 408 patients under investigation (PUI). There is still no recorded local transmission in the country. 
Out of this number: 

Tested negative – 208
Pending test resutls – 197 

As of this date, there have been 3 confirmed cases in the Philippines: one died due to severe pneumonia because of novel coronavirus while the two have since recovered and discharged from hospital confinement.
Below is the latest breakdown of the PUI cases per region. All numbers are from DOH's nCov tracker.



REGION
NUMBER OF PEOPLE PROBED


Ilocos Region
5


Cagayan Valley 
19


Cordillera Administrative Region
14


Central Luzon
51


Metro Manila
133


Calabarzon
37


Mimaropa
11


Bicol Region
3


Western Visayas
29


Central Visayas
54


Eastern Visayas
16


Northern Mindanao
13


Caraga
2


Davao Region
21


Soccsksargen
1



There are 6 Filipinos confirmed to have the virus, but all are based outside the Philippines, including one in the United Arab Emirates and 5 in a cruise ship in Japan.
The World Health Organization has declared the outbreak as an international emergency. On Tuesday, February 11, WHO warned that the virus was a ""very grave threat"" for the planet.
Globally, the novel coronavirus has killed 1,018 and infected over 43,000 people across 26 countries. – Rappler.com "
59,,"
Published 4:24 PM, February 12, 2020                                    ",nCov,"Infant, mother among 9 observed for coronavirus in Cordillera",Frank Cimatu,"
 
BAGUIO CITY, Philippines – A 10-month-old baby and her mother are among the 9 persons under investigation (PUI) for the coronavirus in the Cordillera region.  
Amelia Pangilinan, acting regional director of the Department of Health-Cordillera, said on Wednesday, February 12, that the spike in the number of PUI is nothing to worry about as all of them voluntarily brought themselves in as part of “health seeking behavior.”  
Three of the 9 are in Baguio while 3 others are in Abra. The rest are from Mountain Province and Benguet.  
The 5 previous PUI have been discharged. They included a Chinese student who came from a province near Wuhan, the ground zero of Covid-19. 
The infant and her mother just happened to make a stop-over in Hongkong. Many of the 9 also have history of travel to China, Pangilinan said. 
Some of them are domestic help while one is an English teacher in China who happens to be on vacation.  
Cagayan Valley remains to have the most number of PUI in Northern Luzon with 18 and no one discharged yet.  
Pangasinan also had its first PUI, a 28-year-old woman from Lingayen town who went to Taiwan for a vacation.
As of morning of Wednesday, February 12, there are 382 patients under investigation in the Philippines. Of the 3 confirmed cases, one died due to pneumonia, while the two others were discharged – meaning, they tested negative twice already.
Abroad, 6 Filipinos are confirmed to have contracted the virus: one the United Arab Emirates and 5 in Japan.
Globally, 1,115 deaths and 45,170 cases, with 4,794 recoveries, have been recorded as of Friday morning. – Rappler.com  "
60,,"
Published 3:25 PM, February 12, 2020                                    ",nCov,DOH probes 408 patients for novel coronavirus in PH,Janella Paris,"
PREPARATIONS. Nurses from the Ospital ng Parañaque show to media on February 5, 2020, the quarantine tent and equipment they prepared in case a patient under investigation for the novel coronavirus is brought to their facility. Photo by Ben Nabong/Rappler 
MANILA, Philippines (UPDATED) – The Department of Health (DOH) has probed a total of 408 patients for the novel coronavirus (2019-nCoV) as of Wednesday noon, February 12.
This marks an increase of 26 from the 382 reported on Tuesday, February 11.
A total of 208 have already tested negative for 2019-nCoV, while 197 cases are still pending test results from the Research Institute for Tropical Medicine (RITM).
Of the 408 patients under investigation, 238 are currently admitted in hospitals after showing symptoms, while 165 have already been discharged. Health Undersecretary Eric Domingo said none of the symptomatic patients have severe symptoms.

The discharged patients are still under strict monitoring, which means that the DOH communicates with them daily for updates in case they begin to show symptoms.
Domingo also said they have no longer received reports of patients refusing admission. The health official last week disclosed that at least 10 patients refused admission to hospitals, citing concerns about expenses.
The DOH has promised that treatment in public hospitals will be shouldered by the government, and that the Philippine Health Insurance Corporation has launched an assistance package for patients being probed for 2019-nCoV in private hospitals.
Here is the breakdown of patients per region:

Ilocos Region - 5
Cagayan Valley - 19
Cordillera Administrative Region - 14
Central Luzon - 51
Metro Manila - 133
Calabarzon - 37
Mimaropa - 11
Bicol - 3
Western Visayas - 29
Central Visayas - 53
Eastern Visayas - 16
Northern Mindanao - 13
Caraga - 2
Davao Region - 21
Soccsksargen - 1

Still no local transmission
So far, there have been 3 confirmed cases of 2019-nCoV in the Philippines. One of them died due to severe pneumonia caused by the virus, while the other two have recovered from the infection and have since been discharged from the hospital.
All 3 are imported cases, as the patients traveled from China already carrying the virus. This means that there is no local transmission of 2019-nCoV in the Philippines yet, Domingo said. (READ: Time to prepare for possibility of wider coronavirus transmission in PH) 
Local transmission outside of China has so far been recorded in Singapore, Japan, Thailand, Hong Kong, Germany, France, Vietnam, South Korea, and Australia, according to Domingo.
The health official said the DOH and Philippine hospitals are ready for the possibility of local transmission.
""The WHO (World Health Organization) has signified that we should all get ready because they've been seeing it happen in other countries, even in countries that are far [from China]. So all countries must prepare,"" he said.
The DOH is looking to expand laboratory testing for the virus as part of its disease detection efforts. Domingo said the DOH is eyeing 4 subnational reference laboratories connected with the RITM for 2019-nCoV testing. He also said the RITM will readily train private hospitals interested in assisting with disease detection efforts.
The WHO declared the 2019-nCoV outbreak a global public health emergency, warning that it constitutes a ""very grave threat"" for the world. It has killed at least 1,115 people and infected over 45,000, surpassing figures from the SARS outbreak of 2002-2003. – Rappler.com  "
